General parameters as a function of omega

omega/omega_cr  surface        
 0.0000000E+00   0.1256637E+02 
 0.5000000E-02   0.1256643E+02 
 0.1000000E-01   0.1256662E+02 
 0.1500000E-01   0.1256693E+02 
 0.2000000E-01   0.1256737E+02 
 0.2500000E-01   0.1256792E+02 
 0.3000000E-01   0.1256861E+02 
 0.3500000E-01   0.1256941E+02 
 0.4000000E-01   0.1257035E+02 
 0.4500000E-01   0.1257140E+02 
 0.5000000E-01   0.1257259E+02 
 0.5500000E-01   0.1257389E+02 
 0.6000000E-01   0.1257532E+02 
 0.6500000E-01   0.1257688E+02 
 0.7000000E-01   0.1257856E+02 
 0.7500000E-01   0.1258037E+02 
 0.8000000E-01   0.1258230E+02 
 0.8500000E-01   0.1258436E+02 
 0.9000000E-01   0.1258655E+02 
 0.9500000E-01   0.1258887E+02 
 0.1000000E+00   0.1259131E+02 
 0.1050000E+00   0.1259387E+02 
 0.1100000E+00   0.1259657E+02 
 0.1150000E+00   0.1259939E+02 
 0.1200000E+00   0.1260235E+02 
 0.1250000E+00   0.1260543E+02 
 0.1300000E+00   0.1260864E+02 
 0.1350000E+00   0.1261198E+02 
 0.1400000E+00   0.1261545E+02 
 0.1450000E+00   0.1261906E+02 
 0.1500000E+00   0.1262279E+02 
 0.1550000E+00   0.1262665E+02 
 0.1600000E+00   0.1263065E+02 
 0.1650000E+00   0.1263478E+02 
 0.1700000E+00   0.1263905E+02 
 0.1750000E+00   0.1264344E+02 
 0.1800000E+00   0.1264798E+02 
 0.1850000E+00   0.1265265E+02 
 0.1900000E+00   0.1265745E+02 
 0.1950000E+00   0.1266239E+02 
 0.2000000E+00   0.1266747E+02 
 0.2050000E+00   0.1267269E+02 
 0.2100000E+00   0.1267804E+02 
 0.2150000E+00   0.1268354E+02 
 0.2200000E+00   0.1268917E+02 
 0.2250000E+00   0.1269495E+02 
 0.2300000E+00   0.1270087E+02 
 0.2350000E+00   0.1270693E+02 
 0.2400000E+00   0.1271314E+02 
 0.2450000E+00   0.1271949E+02 
 0.2500000E+00   0.1272598E+02 
 0.2550000E+00   0.1273263E+02 
 0.2600000E+00   0.1273942E+02 
 0.2650000E+00   0.1274636E+02 
 0.2700000E+00   0.1275345E+02 
 0.2750000E+00   0.1276069E+02 
 0.2800000E+00   0.1276808E+02 
 0.2850000E+00   0.1277563E+02 
 0.2900000E+00   0.1278333E+02 
 0.2950000E+00   0.1279119E+02 
 0.3000000E+00   0.1279920E+02 
 0.3050000E+00   0.1280737E+02 
 0.3100000E+00   0.1281571E+02 
 0.3150000E+00   0.1282420E+02 
 0.3200000E+00   0.1283285E+02 
 0.3250000E+00   0.1284167E+02 
 0.3300000E+00   0.1285066E+02 
 0.3350000E+00   0.1285981E+02 
 0.3400000E+00   0.1286912E+02 
 0.3450000E+00   0.1287861E+02 
 0.3500000E+00   0.1288827E+02 
 0.3550000E+00   0.1289811E+02 
 0.3600000E+00   0.1290811E+02 
 0.3650000E+00   0.1291830E+02 
 0.3700000E+00   0.1292866E+02 
 0.3750000E+00   0.1293920E+02 
 0.3800000E+00   0.1294993E+02 
 0.3850000E+00   0.1296084E+02 
 0.3900000E+00   0.1297193E+02 
 0.3950000E+00   0.1298321E+02 
 0.4000000E+00   0.1299468E+02 
 0.4050000E+00   0.1300635E+02 
 0.4100000E+00   0.1301821E+02 
 0.4150000E+00   0.1303026E+02 
 0.4200000E+00   0.1304252E+02 
 0.4250000E+00   0.1305497E+02 
 0.4300000E+00   0.1306763E+02 
 0.4350000E+00   0.1308050E+02 
 0.4400000E+00   0.1309358E+02 
 0.4450000E+00   0.1310686E+02 
 0.4500000E+00   0.1312036E+02 
 0.4550000E+00   0.1313408E+02 
 0.4600000E+00   0.1314802E+02 
 0.4650000E+00   0.1316218E+02 
 0.4700000E+00   0.1317656E+02 
 0.4750000E+00   0.1319118E+02 
 0.4800000E+00   0.1320602E+02 
 0.4850000E+00   0.1322111E+02 
 0.4900000E+00   0.1323643E+02 
 0.4950000E+00   0.1325199E+02 
 0.5000000E+00   0.1326780E+02 
 0.5050000E+00   0.1328386E+02 
 0.5100000E+00   0.1330017E+02 
 0.5150000E+00   0.1331674E+02 
 0.5200000E+00   0.1333357E+02 
 0.5250000E+00   0.1335066E+02 
 0.5300000E+00   0.1336803E+02 
 0.5350000E+00   0.1338566E+02 
 0.5400000E+00   0.1340358E+02 
 0.5450000E+00   0.1342178E+02 
 0.5500000E+00   0.1344026E+02 
 0.5550000E+00   0.1345904E+02 
 0.5600000E+00   0.1347812E+02 
 0.5650000E+00   0.1349750E+02 
 0.5700000E+00   0.1351718E+02 
 0.5750000E+00   0.1353718E+02 
 0.5800000E+00   0.1355750E+02 
 0.5850000E+00   0.1357815E+02 
 0.5900000E+00   0.1359912E+02 
 0.5950000E+00   0.1362044E+02 
 0.6000000E+00   0.1364210E+02 
 0.6050000E+00   0.1366411E+02 
 0.6100000E+00   0.1368647E+02 
 0.6150000E+00   0.1370920E+02 
 0.6200000E+00   0.1373231E+02 
 0.6250000E+00   0.1375579E+02 
 0.6300000E+00   0.1377967E+02 
 0.6350000E+00   0.1380394E+02 
 0.6400000E+00   0.1382861E+02 
 0.6450000E+00   0.1385370E+02 
 0.6500000E+00   0.1387921E+02 
 0.6550000E+00   0.1390516E+02 
 0.6600000E+00   0.1393154E+02 
 0.6650000E+00   0.1395838E+02 
 0.6700000E+00   0.1398569E+02 
 0.6750000E+00   0.1401347E+02 
 0.6800000E+00   0.1404173E+02 
 0.6850000E+00   0.1407050E+02 
 0.6900000E+00   0.1409978E+02 
 0.6950000E+00   0.1412958E+02 
 0.7000000E+00   0.1415991E+02 
 0.7050000E+00   0.1419081E+02 
 0.7100000E+00   0.1422226E+02 
 0.7150000E+00   0.1425430E+02 
 0.7200000E+00   0.1428694E+02 
 0.7250000E+00   0.1432020E+02 
 0.7300000E+00   0.1435409E+02 
 0.7350000E+00   0.1438863E+02 
 0.7400000E+00   0.1442385E+02 
 0.7450000E+00   0.1445976E+02 
 0.7500000E+00   0.1449638E+02 
 0.7550000E+00   0.1453374E+02 
 0.7600000E+00   0.1457186E+02 
 0.7650000E+00   0.1461077E+02 
 0.7700000E+00   0.1465048E+02 
 0.7750000E+00   0.1469104E+02 
 0.7800000E+00   0.1473247E+02 
 0.7850000E+00   0.1477481E+02 
 0.7900000E+00   0.1481807E+02 
 0.7950000E+00   0.1486231E+02 
 0.8000000E+00   0.1490755E+02 
 0.8050000E+00   0.1495384E+02 
 0.8100000E+00   0.1500122E+02 
 0.8150000E+00   0.1504973E+02 
 0.8200000E+00   0.1509942E+02 
 0.8250000E+00   0.1515035E+02 
 0.8300000E+00   0.1520257E+02 
 0.8350000E+00   0.1525613E+02 
 0.8400000E+00   0.1531111E+02 
 0.8450000E+00   0.1536756E+02 
 0.8500000E+00   0.1542557E+02 
 0.8550000E+00   0.1548521E+02 
 0.8600000E+00   0.1554658E+02 
 0.8650000E+00   0.1560976E+02 
 0.8700000E+00   0.1567486E+02 
 0.8750000E+00   0.1574200E+02 
 0.8800000E+00   0.1581130E+02 
 0.8850000E+00   0.1588289E+02 
 0.8900000E+00   0.1595693E+02 
 0.8950000E+00   0.1603359E+02 
 0.9000000E+00   0.1611306E+02 
 0.9050000E+00   0.1619556E+02 
 0.9100000E+00   0.1628131E+02 
 0.9150000E+00   0.1637060E+02 
 0.9200000E+00   0.1646374E+02 
 0.9250000E+00   0.1656110E+02 
 0.9300000E+00   0.1666308E+02 
 0.9350000E+00   0.1677019E+02 
 0.9400000E+00   0.1688301E+02 
 0.9450000E+00   0.1700225E+02 
 0.9500000E+00   0.1712878E+02 
 0.9550000E+00   0.1726367E+02 
 0.9600000E+00   0.1740830E+02 
 0.9650000E+00   0.1756447E+02 
 0.9700000E+00   0.1773462E+02 
 0.9750000E+00   0.1792219E+02 
 0.9800000E+00   0.1813238E+02 
 0.9850000E+00   0.1837375E+02 
 0.9900000E+00   0.1866245E+02 
 0.9950000E+00   0.1903854E+02 
 0.1000000E+01   0.1987221E+02 
