line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.248464828939672E+06    8.999976  3.599184  4.409283  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3368  4.409283  -10.061  1.155712  7.527887  0.7350375E+00  0.2588717E+00  1.3267900E-05  3.5683570E-06  1.9129560E-03  1.8840891E-03  7.7181873E-06  8.5601752E-09  8.0438135E-04  6.5060718E-05  0.000E+00  1.010E-04  9.477E-05  9.531E-01  1.054E+00  6.08E+02  0.00E+00  2.28E+02  0.536276  0.011796  0.0000000E+00  6.1577857312E-02
  2  0.101530995049079E+07    8.999909  3.604373  4.406844  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3356  4.406844  -10.060  1.133059  7.521545  0.7266947E+00  0.2673100E+00  1.7431819E-05  4.6921455E-06  2.5688531E-03  1.1301495E-03  4.9509815E-06  6.5043935E-09  8.0438135E-04  6.5060718E-05  0.000E+00  8.316E-05  9.879E-05  9.665E-01  1.037E+00  6.00E+02  0.00E+00  1.90E+02  0.459582  0.011938  0.0000000E+00  6.1573923368E-02
  3  0.171461425224718E+07    8.999848  3.609637  4.405324  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3334  4.405324  -10.048  1.123991  7.519536  0.7184539E+00  0.2755984E+00  1.9502566E-05  5.2426112E-06  2.8954246E-03  7.5495802E-04  3.3828835E-06  3.4136468E-09  8.0438135E-04  6.5060718E-05  0.000E+00  7.820E-05  9.927E-05  9.692E-01  1.034E+00  5.96E+02  0.00E+00  1.81E+02  0.441928  0.012084  0.0000000E+00  6.1570513150E-02
  4  0.238283836281441E+07    8.999787  3.615036  4.404277  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874616E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3310  4.404277  -10.033  1.118914  7.518816  0.7101269E+00  0.2839540E+00  2.0780394E-05  5.5851721E-06  3.0916549E-03  5.2949879E-04  2.3919832E-06  2.2509730E-09  8.0438135E-04  6.5060718E-05  0.000E+00  7.595E-05  9.875E-05  9.700E-01  1.033E+00  5.92E+02  0.00E+00  1.78E+02  0.436730  0.012235  0.0000000E+00  6.1567211245E-02
  5  0.297336199540871E+07    8.999731  3.619812  4.403432  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874618E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3283  4.403432  -10.020  1.115678  7.518623  0.7020230E+00  0.2920770E+00  2.1652993E-05  5.8193794E-06  3.2225809E-03  3.7905169E-04  1.7157228E-06  1.6089870E-09  8.0438135E-04  6.5060718E-05  0.000E+00  7.465E-05  9.806E-05  9.702E-01  1.033E+00  5.89E+02  0.00E+00  1.76E+02  0.435434  0.012370  0.0000000E+00  6.1564205576E-02
  6  0.357942572359759E+07    8.999672  3.624939  4.402779  0.7380571E+00  0.2559004E+00  9.7849383E-04  1.1874685E-05  2.8232489E-04  2.4507751E-03  9.7097201E-07  5.5284602E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3256  4.402779  -10.005  1.113611  7.518838  0.6937006E+00  0.3004119E+00  2.2226449E-05  5.9739403E-06  3.3081029E-03  2.8077736E-04  1.2678783E-06  1.1890262E-09  8.0438135E-04  6.5060718E-05  0.000E+00  7.369E-05  9.739E-05  9.701E-01  1.033E+00  5.87E+02  0.00E+00  1.76E+02  0.435614  0.012517  0.0000000E+00  6.1561010418E-02
  7  0.418548945178648E+07    8.999611  3.630120  4.402244  0.7380571E+00  0.2559004E+00  9.7849292E-04  1.1875353E-05  2.8232528E-04  2.4507751E-03  9.7097229E-07  5.5284587E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3231  4.402244   -9.990  1.112223  7.519303  0.6854287E+00  0.3086916E+00  2.2624965E-05  6.0812803E-06  3.3614665E-03  2.1939155E-04  9.8581054E-07  9.2778680E-10  8.0438135E-04  6.5060718E-05  0.000E+00  7.282E-05  9.676E-05  9.701E-01  1.033E+00  5.84E+02  0.00E+00  1.75E+02  0.435922  0.012667  0.0000000E+00  6.1557683837E-02
  8  0.477445907482131E+07    8.999550  3.635320  4.401769  0.7380571E+00  0.2559004E+00  9.7848702E-04  1.1879007E-05  2.8232849E-04  2.4507749E-03  9.7097502E-07  5.5284478E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.3206  4.401769   -9.974  1.111356  7.519900  0.6772270E+00  0.3168986E+00  2.2928686E-05  6.1626588E-06  3.3971943E-03  1.7823336E-04  7.9526820E-07  7.5289894E-10  8.0438135E-04  6.5060718E-05  0.000E+00  7.209E-05  9.619E-05  9.700E-01  1.033E+00  5.82E+02  0.00E+00  1.75E+02  0.436789  0.012820  0.0000000E+00  6.1554314861E-02
