line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.484698465687576E+07    2.500000  1.595830  4.047253  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1962  4.047253    0.000  1.767608  7.375404  0.7169893E+00  0.2686267E+00  1.4050438E-05  3.7323256E-06  3.3933876E-03  5.4842588E-03  1.9138897E-04  6.4376749E-08  1.8768898E-03  1.5180834E-04  0.000E+00  2.475E-05  2.535E-05  9.985E-01  1.004E+00  4.34E+02  0.00E+00  2.91E+01  0.100154  0.000417  0.0000000E+00  8.5451384598E-04
  2  0.162832497356942E+08    2.500000  1.594215  4.044996  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2053  4.044996    0.000  1.761573  7.374413  0.7088470E+00  0.2768252E+00  1.5896656E-05  4.2229253E-06  3.8474779E-03  4.8135082E-03  3.4934710E-04  1.1763685E-07  1.8768898E-03  1.5180834E-04  0.000E+00  2.588E-05  2.486E-05  9.983E-01  1.005E+00  4.33E+02  0.00E+00  3.06E+01  0.106060  0.000415  0.0000000E+00  8.5451384598E-04
  3  0.279793472840039E+08    2.500000  1.596047  4.042817  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2047  4.042817    0.000  1.755918  7.373278  0.7007133E+00  0.2850255E+00  1.7703604E-05  4.7023944E-06  4.3070516E-03  4.2891946E-03  3.4517962E-04  1.1578240E-07  1.8768898E-03  1.5180834E-04  0.000E+00  2.501E-05  2.465E-05  9.984E-01  1.005E+00  4.30E+02  0.00E+00  3.00E+01  0.104382  0.000417  0.0000000E+00  8.5451384598E-04
  4  0.393099417839290E+08    2.500000  1.598492  4.041048  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2034  4.041048    0.000  1.751975  7.372642  0.6925891E+00  0.2932080E+00  1.9280393E-05  5.1206904E-06  4.7014683E-03  3.8556698E-03  3.2408125E-04  1.0848960E-07  1.8768898E-03  1.5180834E-04  0.000E+00  2.436E-05  2.450E-05  9.984E-01  1.005E+00  4.28E+02  0.00E+00  2.95E+01  0.103347  0.000420  0.0000000E+00  8.5451384598E-04
  5  0.502750332354694E+08    2.500000  1.601546  4.039567  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2023  4.039567    0.000  1.749388  7.372274  0.6846269E+00  0.3012196E+00  2.0615764E-05  5.4751725E-06  5.0335080E-03  3.4967408E-03  2.9989624E-04  1.0028348E-07  1.8768898E-03  1.5180834E-04  0.000E+00  2.382E-05  2.440E-05  9.984E-01  1.005E+00  4.25E+02  0.00E+00  2.92E+01  0.102623  0.000423  0.0000000E+00  8.5451384598E-04
  6  0.608746216386252E+08    2.500000  1.604134  4.038148  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.2010  4.038148    0.000  1.746839  7.372126  0.6766309E+00  0.3092593E+00  2.1782806E-05  5.7850814E-06  5.3256065E-03  3.1835243E-03  2.7593933E-04  9.2208220E-08  1.8768898E-03  1.5180834E-04  0.000E+00  2.335E-05  2.430E-05  9.985E-01  1.004E+00  4.23E+02  0.00E+00  2.88E+01  0.102045  0.000425  0.0000000E+00  8.5451384598E-04
  7  0.712183579079117E+08    2.500000  1.607090  4.036915  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1999  4.036915    0.000  1.745162  7.372183  0.6686422E+00  0.3172865E+00  2.2839073E-05  6.0656273E-06  5.5823861E-03  2.9098495E-03  2.5305246E-04  8.4588545E-08  1.8768898E-03  1.5180834E-04  0.000E+00  2.292E-05  2.422E-05  9.985E-01  1.004E+00  4.21E+02  0.00E+00  2.86E+01  0.101549  0.000428  0.0000000E+00  8.5451384598E-04
  8  0.814158929578445E+08    2.500000  1.610236  4.035735  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.1986  4.035735    0.000  1.743947  7.372308  0.6605833E+00  0.3253800E+00  2.3789587E-05  6.3181255E-06  5.8118340E-03  2.6662273E-03  2.3160989E-04  7.7461833E-08  1.8768898E-03  1.5180834E-04  0.000E+00  2.251E-05  2.416E-05  9.985E-01  1.004E+00  4.20E+02  0.00E+00  2.83E+01  0.101117  0.000431  0.0000000E+00  8.5451384598E-04
