line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.221249810831532E+05   84.958355  5.975890  4.731448  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.7909  4.731448   -5.735  0.389039  7.668109  0.7349756E+00  0.2589510E+00  1.9570883E-05  5.3796867E-06  2.0274578E-03  1.7471625E-03  3.0245233E-06  4.9277059E-09  8.0311735E-04  3.0189439E-05  3.615E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  9.83E+02  0.00E+00  0.00E+00  0.000000  0.297492  0.0000000E+00  0.0000000000E+00
  2  0.759612910921143E+05   84.857131  5.978294  4.726235  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874616E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.7854  4.726235   -5.719  0.364630  7.660296  0.7265271E+00  0.2675102E+00  2.6491381E-05  7.2802758E-06  2.7944320E-03  8.6045715E-04  1.5194844E-06  2.4372046E-09  8.0064150E-04  5.9924896E-06  9.335E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  9.69E+02  0.00E+00  0.00E+00  0.000000  0.299500  0.0000000E+00  0.0000000000E+00
  3  0.130625852024290E+06   84.751434  5.980899  4.723968  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874616E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.7803  4.723968   -5.709  0.356748  7.657985  0.7180501E+00  0.2760345E+00  2.9458453E-05  8.0952470E-06  3.1219813E-03  4.8177521E-04  8.5492726E-07  1.3659207E-09  7.9864960E-04  2.1441505E-06  1.247E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  9.62E+02  0.00E+00  0.00E+00  0.000000  0.301678  0.0000000E+00  0.0000000000E+00
  4  0.184462162033252E+06   84.645022  5.983534  4.722487  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874616E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.7755  4.722487   -5.700  0.353554  7.657225  0.7096544E+00  0.2844540E+00  3.0976154E-05  8.5122677E-06  3.2868145E-03  2.9117267E-04  5.1687375E-07  8.2556524E-10  7.9684221E-04  1.4241810E-06  1.434E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  9.57E+02  0.00E+00  0.00E+00  0.000000  0.303895  0.0000000E+00  0.0000000000E+00
  5  0.238298472042214E+06   84.536460  5.986215  4.721305  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874616E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.7709  4.721305   -5.691  0.352305  7.657111  0.7011790E+00  0.2929423E+00  3.1834613E-05  8.7483034E-06  3.3772013E-03  1.8661194E-04  3.3067507E-07  5.2888917E-10  7.9509607E-04  1.2865425E-06  1.546E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  9.52E+02  0.00E+00  0.00E+00  0.000000  0.306170  0.0000000E+00  0.0000000000E+00
  6  0.291306531127960E+06   84.427494  5.988771  4.720296  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874616E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.7657  4.720296   -5.683  0.352011  7.657313  0.6927405E+00  0.3013878E+00  3.2337924E-05  8.8868345E-06  3.4275349E-03  1.2834312E-04  2.2676741E-07  3.6350989E-10  7.9339993E-04  1.2711781E-06  1.607E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  9.48E+02  0.00E+00  0.00E+00  0.000000  0.308375  0.0000000E+00  0.0000000000E+00
  7  0.343486339290491E+06   84.318187  5.991348  4.719330  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874616E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.7616  4.719330   -5.675  0.352265  7.657690  0.6843197E+00  0.3098126E+00  3.2648928E-05  8.9725743E-06  3.4561362E-03  9.5190934E-05  1.6760502E-07  2.6940152E-10  7.9173225E-04  1.2811160E-06  1.632E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  9.44E+02  0.00E+00  0.00E+00  0.000000  0.310612  0.0000000E+00  0.0000000000E+00
  8  0.395666147453022E+06   84.206835  5.994032  4.718370  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874616E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.7573  4.718370   -5.667  0.352862  7.658175  0.6757948E+00  0.3183396E+00  3.2854911E-05  9.0294838E-06  3.4727215E-03  7.5923768E-05  1.3317303E-07  2.1469397E-10  7.9006020E-04  1.2957507E-06  1.632E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  9.40E+02  0.00E+00  0.00E+00  0.000000  0.312951  0.0000000E+00  0.0000000000E+00
