line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.422194784951824E+07    2.500000  1.690658  4.098527  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2171  4.098527    0.000  1.824404  7.392620  0.7348693E+00  0.2589806E+00  6.9353493E-06  1.8467090E-06  1.5666104E-03  2.2059508E-03  9.7504443E-05  3.5076220E-08  8.0438135E-04  6.5060718E-05  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.63E+02  0.00E+00  0.00E+00  0.000000  0.000524  0.0000000E+00  0.0000000000E+00
  2  0.142880337024676E+08    2.500000  1.691450  4.095042  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2182  4.095042    0.000  1.812472  7.389613  0.7263786E+00  0.2675359E+00  8.8017106E-06  2.3427526E-06  2.0129467E-03  1.6979411E-03  9.1983187E-05  3.2739681E-08  8.0438135E-04  6.5060718E-05  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.59E+02  0.00E+00  0.00E+00  0.000000  0.000525  0.0000000E+00  0.0000000000E+00
  3  0.238334599423334E+08    2.500000  1.693821  4.092890  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2168  4.092890    0.000  1.806048  7.388222  0.7182222E+00  0.2757362E+00  1.0041660E-05  2.6723162E-06  2.3098648E-03  1.3701663E-03  7.7510521E-05  2.7446311E-08  8.0438135E-04  6.5060718E-05  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.56E+02  0.00E+00  0.00E+00  0.000000  0.000528  0.0000000E+00  0.0000000000E+00
  4  0.333788861821993E+08    2.500000  1.696804  4.091284  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2155  4.091284    0.000  1.801886  7.387582  0.7099734E+00  0.2840179E+00  1.0977995E-05  2.9212656E-06  2.5320673E-03  1.1264162E-03  6.5024259E-05  2.2970987E-08  8.0438135E-04  6.5060718E-05  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.54E+02  0.00E+00  0.00E+00  0.000000  0.000532  0.0000000E+00  0.0000000000E+00
  5  0.426061315474028E+08    2.500000  1.700222  4.090049  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2149  4.090049    0.000  1.799481  7.387382  0.7018588E+00  0.2921575E+00  1.1697813E-05  3.1127332E-06  2.7009050E-03  9.4192901E-04  5.4753695E-05  1.9328130E-08  8.0438135E-04  6.5060718E-05  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.51E+02  0.00E+00  0.00E+00  0.000000  0.000536  0.0000000E+00  0.0000000000E+00
  6  0.517697407376740E+08    2.500000  1.703601  4.088949  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2133  4.088949    0.000  1.797504  7.387458  0.6936804E+00  0.3003560E+00  1.2283024E-05  3.2684946E-06  2.8357116E-03  7.9499212E-04  4.6147203E-05  1.6294711E-08  8.0438135E-04  6.5060718E-05  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.49E+02  0.00E+00  0.00E+00  0.000000  0.000540  0.0000000E+00  0.0000000000E+00
  7  0.609333499279451E+08    2.500000  1.707099  4.087939  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2116  4.087939    0.000  1.796044  7.387738  0.6853806E+00  0.3086722E+00  1.2770357E-05  3.3983003E-06  2.9456164E-03  6.7538630E-04  3.8912013E-05  1.3754200E-08  8.0438135E-04  6.5060718E-05  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.47E+02  0.00E+00  0.00E+00  0.000000  0.000544  0.0000000E+00  0.0000000000E+00
  8  0.698105963310203E+08    2.500000  1.710925  4.087102  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2105  4.087102    0.000  1.795433  7.388152  0.6771983E+00  0.3168677E+00  1.3172489E-05  3.5055151E-06  3.0336856E-03  5.7963169E-04  3.2999954E-05  1.1682667E-08  8.0438135E-04  6.5060718E-05  0.000E+00  0.000E+00  0.000E+00  1.000E+00  1.000E+00  4.46E+02  0.00E+00  0.00E+00  0.000000  0.000549  0.0000000E+00  0.0000000000E+00
