line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.737805954911809E+07    2.000000  1.307436  4.032042  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1736  4.032042    0.000  1.917213  7.353011  0.7350322E+00  0.2587982E+00  5.5249606E-06  1.4645182E-06  1.4478230E-03  2.3476133E-03  9.3732217E-05  3.2303318E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.881E-04  2.208E-04  9.512E-01  1.156E+00  4.51E+02  0.00E+00  1.72E+02  0.545842  0.000271  0.0000000E+00  3.5299788028E-03
  2  0.301542551230955E+08    2.000000  1.309341  4.019524  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1667  4.019524    0.000  1.912956  7.351981  0.7265698E+00  0.2672759E+00  6.1026799E-06  1.6168592E-06  1.5978276E-03  2.0691897E-03  2.0635635E-04  6.5189444E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.719E-04  2.208E-04  9.512E-01  1.156E+00  4.37E+02  0.00E+00  1.67E+02  0.545842  0.000272  0.0000000E+00  3.5299788028E-03
  3  0.527683764939228E+08    2.000000  1.313221  4.016287  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1705  4.016287    0.000  1.911734  7.352783  0.7185279E+00  0.2753433E+00  6.8207951E-06  1.8072073E-06  1.7779204E-03  1.8502129E-03  2.1906078E-04  6.8804645E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.670E-04  2.208E-04  9.512E-01  1.156E+00  4.33E+02  0.00E+00  1.66E+02  0.545842  0.000275  0.0000000E+00  3.5299788028E-03
  4  0.747963267765099E+08    2.000000  1.317027  4.014268  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1766  4.014268    0.000  1.910581  7.353522  0.7102460E+00  0.2836517E+00  7.4792079E-06  1.9820345E-06  1.9543564E-03  1.6546011E-03  2.1149087E-04  6.6499235E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.636E-04  2.208E-04  9.512E-01  1.156E+00  4.30E+02  0.00E+00  1.65E+02  0.545842  0.000277  0.0000000E+00  3.5299788028E-03
  5  0.958911384046978E+08    2.000000  1.321051  4.012518  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1775  4.012518    0.000  1.909373  7.353990  0.7020777E+00  0.2918447E+00  8.1237333E-06  2.1527845E-06  2.1171758E-03  1.4851909E-03  1.9264488E-04  6.0577197E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.601E-04  2.208E-04  9.512E-01  1.156E+00  4.27E+02  0.00E+00  1.63E+02  0.545842  0.000280  0.0000000E+00  3.5299788028E-03
  6  0.114803728140315E+09    2.000000  1.324602  4.011846  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1780  4.011846    0.000  1.908961  7.354691  0.6937352E+00  0.3002106E+00  8.7355574E-06  2.3152385E-06  2.2698477E-03  1.3264323E-03  1.7486076E-04  5.5094832E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.571E-04  2.215E-04  9.520E-01  1.153E+00  4.25E+02  0.00E+00  1.61E+02  0.541935  0.000282  0.0000000E+00  3.5299788028E-03
  7  0.131461355253608E+09    2.000000  1.328643  4.011320  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874616E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1761  4.011320    0.000  1.909423  7.355490  0.6855800E+00  0.3083869E+00  9.3201232E-06  2.4703683E-06  2.4072537E-03  1.1856129E-03  1.5660199E-04  4.9542262E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.548E-04  2.215E-04  9.524E-01  1.151E+00  4.24E+02  0.00E+00  1.60E+02  0.539921  0.000285  0.0000000E+00  3.5299788028E-03
  8  0.147828019447891E+09    2.000000  1.331583  4.010315  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874617E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.1766  4.010315    0.000  1.908358  7.355860  0.6773287E+00  0.3166570E+00  9.7880720E-06  2.5946014E-06  2.5303517E-03  1.0606074E-03  1.3912085E-04  4.4024870E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.527E-04  2.204E-04  9.526E-01  1.151E+00  4.22E+02  0.00E+00  1.59E+02  0.539013  0.000287  0.0000000E+00  3.5299788028E-03
