line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.105976251196996E+06   14.999301  4.273356  4.519561  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.4156  4.519561   -8.200  0.928012  7.572199  0.7350559E+00  0.2588571E+00  1.4357922E-05  3.9286424E-06  1.9552076E-03  1.8359465E-03  5.7342759E-06  7.7130118E-09  8.0372830E-04  4.4895135E-06  2.556E-06  1.530E-05  1.484E-05  9.986E-01  1.002E+00  6.77E+02  0.00E+00  4.44E+01  0.098348  0.033425  0.0000000E+00  3.3011391161E-02
  2  0.382385727496817E+06   14.997548  4.278197  4.515409  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.4139  4.515409   -8.195  0.907184  7.566210  0.7264995E+00  0.2675142E+00  1.7682528E-05  4.8070512E-06  2.6539694E-03  1.0333004E-03  4.1748349E-06  4.2135761E-09  8.0239202E-04  4.6974159E-07  5.975E-06  1.475E-05  1.484E-05  9.986E-01  1.002E+00  6.68E+02  0.00E+00  4.39E+01  0.098348  0.033804  0.0000000E+00  3.2979940650E-02
  3  0.651007379917532E+06   14.995818  4.283471  4.513649  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.4119  4.513649   -8.187  0.898857  7.564294  0.7181685E+00  0.2758912E+00  1.9696311E-05  5.3531861E-06  2.9710744E-03  6.6890007E-04  2.7211247E-06  2.6207805E-09  8.0132746E-04  3.0414303E-07  7.222E-06  1.438E-05  1.484E-05  9.986E-01  1.002E+00  6.63E+02  0.00E+00  4.35E+01  0.098348  0.034221  0.0000000E+00  3.2949744826E-02
  4  0.927565581159765E+06   14.994002  4.289001  4.512623  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.4094  4.512623   -8.178  0.894239  7.563666  0.7097140E+00  0.2843718E+00  2.0930486E-05  5.6899415E-06  3.1514634E-03  4.6149345E-04  1.8549490E-06  1.7075407E-09  8.0033635E-04  2.6295829E-07  7.572E-06  1.395E-05  1.477E-05  9.986E-01  1.002E+00  6.59E+02  0.00E+00  4.26E+01  0.096917  0.034664  0.0000000E+00  3.2918296728E-02
  5  0.120229227113550E+07   14.992159  4.294792  4.511995  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.4077  4.511995   -8.169  0.891710  7.563703  0.7013430E+00  0.2927582E+00  2.1655251E-05  5.8866382E-06  3.2575538E-03  3.3950193E-04  1.3613106E-06  1.2367873E-09  7.9939845E-04  2.1902556E-07  7.464E-06  1.359E-05  1.474E-05  9.986E-01  1.001E+00  6.56E+02  0.00E+00  4.20E+01  0.095822  0.035133  0.0000000E+00  3.2886585526E-02
  6  0.148251349491074E+07   14.990236  4.300719  4.511515  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.4055  4.511515   -8.159  0.890031  7.564075  0.6928922E+00  0.3012184E+00  2.2114968E-05  6.0122051E-06  3.3229696E-03  2.6426163E-04  1.0539849E-06  9.6986806E-10  7.9847440E-04  2.1025102E-07  7.099E-06  1.328E-05  1.473E-05  9.987E-01  1.001E+00  6.53E+02  0.00E+00  4.14E+01  0.095017  0.035621  0.0000000E+00  3.2853714248E-02
  7  0.174625111728744E+07   14.988384  4.306471  4.511083  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.4037  4.511083   -8.149  0.888911  7.564566  0.6844922E+00  0.3096255E+00  2.2493030E-05  6.1143027E-06  3.3717382E-03  2.0811046E-04  8.2595562E-07  7.2537762E-10  7.9756231E-04  1.5346861E-07  6.692E-06  1.298E-05  1.471E-05  9.987E-01  1.001E+00  6.50E+02  0.00E+00  4.08E+01  0.094108  0.036100  0.0000000E+00  3.2822249536E-02
  8  0.199899967206512E+07   14.986571  4.311923  4.510663  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.4012  4.510663   -8.140  0.888048  7.565139  0.6761126E+00  0.3180102E+00  2.2779257E-05  6.1919632E-06  3.4074955E-03  1.6692397E-04  6.5969033E-07  5.6706326E-10  7.9665683E-04  8.5215181E-08  6.255E-06  1.271E-05  1.470E-05  9.987E-01  1.001E+00  6.47E+02  0.00E+00  4.03E+01  0.093293  0.036561  0.0000000E+00  3.2791588763E-02
