line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  1.230946917730758E+05   14.999958  4.284450  4.603157  7.5157740E-01  2.4837130E-01  1.2915521E-06  4.2970794E-09  1.0216519E-07  6.8211449E-06  3.5136664E-10  2.0005896E-09  9.2048308E-07  2.3543589E-08  0.000E+00  0.4240  4.603157   -9.508  1.349606  7.708351  7.4857400E-01  2.5141660E-01  7.4809309E-08  2.0341935E-08  7.3318124E-06  1.6256697E-07  3.6921940E-10  5.3856923E-13  6.6439172E-07  2.0855750E-09  5.884E-09  1.619E-04  1.628E-04  9.470E-01  1.052E+00  8.29E+02  0.00E+00  3.30E+02  0.566439  0.034555  0.0000000E+00  1.7989125556E-01
  2  4.396537986876943E+05   14.999860  4.290527  4.604936  7.5157740E-01  2.4837130E-01  1.2915521E-06  4.2970813E-09  1.0216519E-07  6.8211449E-06  3.5136664E-10  2.0005896E-09  9.2048308E-07  2.3543589E-08  0.000E+00  0.4223  4.604936   -9.506  1.348259  7.708972  7.4020280E-01  2.5978776E-01  7.4797238E-08  2.0307756E-08  7.3783863E-06  1.0867131E-07  2.2521811E-10  3.5659641E-13  4.4399021E-07  9.8182513E-10  2.479E-09  1.425E-04  1.734E-04  9.591E-01  1.040E+00  8.26E+02  0.00E+00  2.89E+02  0.504012  0.035043  0.0000000E+00  1.7988326327E-01
  3  7.320609545567255E+05   14.999768  4.296250  4.605123  7.5157740E-01  2.4837130E-01  1.2915423E-06  4.3055877E-09  1.0216757E-07  6.8211449E-06  3.5137134E-10  2.0005856E-09  9.2048308E-07  2.3543588E-08  1.528E-19  0.4200  4.605123   -9.499  1.348609  7.710024  7.3183160E-01  2.6815890E-01  7.5449098E-08  2.0488351E-08  7.3829785E-06  1.0175591E-07  1.9618466E-10  3.2796259E-13  3.1113658E-07  7.0977455E-10  1.407E-09  1.392E-04  1.741E-04  9.603E-01  1.038E+00  8.23E+02  0.00E+00  2.84E+02  0.497093  0.035508  0.0000000E+00  1.7987622211E-01
  4  1.002862477393951E+06   14.999682  4.301420  4.605006  7.5157740E-01  2.4837140E-01  1.2909075E-06  4.6679132E-09  1.0252218E-07  6.8211432E-06  3.5230250E-10  2.0001738E-09  9.2048306E-07  2.3543420E-08  2.476E-16  0.4170  4.605006   -9.493  1.348613  7.710938  7.2346040E-01  2.7653010E-01  7.5552660E-08  2.0517658E-08  7.3826004E-06  1.0147237E-07  1.9553884E-10  3.2680639E-13  2.1572806E-07  5.0013588E-10  1.107E-09  1.378E-04  1.734E-04  9.604E-01  1.038E+00  8.20E+02  0.00E+00  2.83E+02  0.496821  0.035933  0.0000000E+00  1.7986962191E-01
  5  1.270124261989048E+06   14.999596  4.306788  4.604898  7.5157730E-01  2.4837170E-01  1.2871429E-06  6.1827580E-09  1.0531614E-07  6.8211083E-06  3.6334017E-10  1.9971662E-09  9.2048233E-07  2.3541436E-08  6.292E-15  0.4145  4.604898   -9.487  1.348917  7.711925  7.1508920E-01  2.8490130E-01  7.5960158E-08  2.0631018E-08  7.3819063E-06  1.0103770E-07  1.9167914E-10  3.2422183E-13  1.4875467E-07  3.5313576E-10  1.100E-09  1.366E-04  1.728E-04  9.602E-01  1.038E+00  8.18E+02  0.00E+00  2.82E+02  0.497543  0.036380  0.0000000E+00  1.7986297828E-01
  6  1.537457975134504E+06   14.999508  4.312265  4.604742  7.5157720E-01  2.4837251E-01  1.2757966E-06  9.4875445E-09  1.1523098E-07  6.8208130E-06  4.2072606E-10  1.9867262E-09  9.2047433E-07  2.3530827E-08  5.148E-14  0.4120  4.604742   -9.480  1.349244  7.712920  7.0671800E-01  2.9327240E-01  7.6376771E-08  2.0747302E-08  7.3814793E-06  1.0027363E-07  1.8699125E-10  3.2021278E-13  1.0255400E-07  2.5348295E-10  1.180E-09  1.357E-04  1.721E-04  9.599E-01  1.039E+00  8.15E+02  0.00E+00  2.82E+02  0.499177  0.036842  0.0000000E+00  1.7985619110E-01
  7  1.796381897759969E+06   14.999421  4.317527  4.604582  7.5157650E-01  2.4837410E-01  1.2553929E-06  1.3929142E-08  1.3512473E-07  6.8197131E-06  5.7520742E-10  1.9659949E-09  9.2044058E-07  2.3501263E-08  1.825E-13  0.4092  4.604582   -9.473  1.349340  7.713860  6.9834680E-01  3.0164370E-01  7.6548414E-08  2.0795179E-08  7.3806586E-06  1.0036140E-07  1.8670138E-10  3.2033927E-13  7.0054793E-08  1.7376442E-10  1.271E-09  1.345E-04  1.714E-04  9.598E-01  1.039E+00  8.12E+02  0.00E+00  2.82E+02  0.499858  0.037291  0.0000000E+00  1.7984947537E-01
  8  2.053736370515076E+06   14.999334  4.322989  4.604405  7.5157500E-01  2.4837690E-01  1.2267519E-06  1.8801908E-08  1.6534387E-07  6.8171476E-06  8.6575129E-10  1.9348367E-09  9.2035606E-07  2.3443994E-08  4.056E-13  0.4068  4.604405   -9.466  1.349626  7.714920  6.8997559E-01  3.1001481E-01  7.6935155E-08  2.0903220E-08  7.3801883E-06  9.9680706E-08  1.8267642E-10  3.1676625E-13  4.8216194E-08  1.2422000E-10  1.361E-09  1.334E-04  1.707E-04  9.596E-01  1.039E+00  8.09E+02  0.00E+00  2.82E+02  0.501247  0.037763  0.0000000E+00  1.7984265650E-01
