line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.253111399953503E+06    8.999988  3.631467  4.461824  0.7506971E+00  0.2488615E+00  6.5232927E-05  7.9164103E-07  1.8821658E-05  1.6338500E-04  6.4731466E-08  3.6856402E-07  5.3625423E-05  4.3373812E-06  0.000E+00  0.3535  4.461824  -10.401  1.321401  7.580487  0.7476914E+00  0.2519169E+00  1.8945958E-06  5.1130099E-07  2.2494181E-04  1.3048529E-05  3.1341200E-08  4.6558847E-11  5.3625423E-05  4.3373812E-06  0.000E+00  1.463E-04  1.463E-04  9.467E-01  1.061E+00  6.75E+02  0.00E+00  2.70E+02  0.567961  0.012799  0.0000000E+00  7.3324291152E-02
  2  0.996777450461691E+06    8.999957  3.638355  4.464178  0.7506971E+00  0.2488615E+00  6.5232927E-05  7.9164103E-07  1.8821658E-05  1.6338500E-04  6.4731466E-08  3.6856402E-07  5.3625423E-05  4.3373812E-06  0.000E+00  0.3518  4.464178  -10.378  1.318041  7.580719  0.7393489E+00  0.2602603E+00  1.9386825E-06  5.2321228E-07  2.3120950E-04  5.8276096E-06  1.4643996E-08  2.0707186E-11  5.3625423E-05  4.3373812E-06  0.000E+00  1.291E-04  1.612E-04  9.589E-01  1.046E+00  6.73E+02  0.00E+00  2.36E+02  0.505197  0.013003  0.0000000E+00  7.3322427108E-02
  3  0.166833158151347E+07    8.999929  3.644016  4.464307  0.7506971E+00  0.2488615E+00  6.5232925E-05  7.9164369E-07  1.8821658E-05  1.6338500E-04  6.4731467E-08  3.6856402E-07  5.3625423E-05  4.3373812E-06  0.000E+00  0.3492  4.464307  -10.361  1.317087  7.581488  0.7310003E+00  0.2686090E+00  1.9573688E-06  5.2831128E-07  2.3226143E-04  4.5972013E-06  1.1444542E-08  1.6311126E-11  5.3625423E-05  4.3373812E-06  0.000E+00  1.243E-04  1.625E-04  9.612E-01  1.043E+00  6.71E+02  0.00E+00  2.29E+02  0.492000  0.013174  0.0000000E+00  7.3320820490E-02
  4  0.228616138208111E+07    8.999901  3.649363  4.464144  0.7506971E+00  0.2488615E+00  6.5232440E-05  7.9198317E-07  1.8821875E-05  1.6338500E-04  6.4731630E-08  3.6856319E-07  5.3625423E-05  4.3373812E-06  0.000E+00  0.3462  4.464144  -10.346  1.316512  7.582303  0.7226521E+00  0.2769572E+00  1.9719279E-06  5.3224298E-07  2.3254538E-04  4.2497448E-06  1.0062115E-08  1.5078621E-11  5.3625423E-05  4.3373812E-06  0.000E+00  1.226E-04  1.621E-04  9.615E-01  1.043E+00  6.68E+02  0.00E+00  2.27E+02  0.490231  0.013337  0.0000000E+00  7.3319300403E-02
  5  0.287712901740668E+07    8.999874  3.654675  4.463928  0.7506971E+00  0.2488616E+00  6.5225097E-05  7.9578789E-07  1.8826608E-05  1.6338485E-04  6.4735835E-08  3.6854695E-07  5.3625423E-05  4.3373812E-06  0.000E+00  0.3440  4.463928  -10.330  1.316156  7.583125  0.7143752E+00  0.2852342E+00  1.9788151E-06  5.3413725E-07  2.3256871E-04  4.2117154E-06  9.8963984E-09  1.4914034E-11  5.3625423E-05  4.3373812E-06  0.000E+00  1.213E-04  1.614E-04  9.614E-01  1.043E+00  6.66E+02  0.00E+00  2.27E+02  0.490495  0.013501  0.0000000E+00  7.3317790302E-02
  6  0.346809665273225E+07    8.999846  3.659889  4.463672  0.7506969E+00  0.2488617E+00  6.5185484E-05  8.1154852E-07  1.8858028E-05  1.6338288E-04  6.4767812E-08  3.6844381E-07  5.3625423E-05  4.3373812E-06  0.000E+00  0.3412  4.463672  -10.315  1.315648  7.583951  0.7060390E+00  0.2935704E+00  1.9856248E-06  5.3600320E-07  2.3257933E-04  4.1883512E-06  9.7471457E-09  1.4797490E-11  5.3625423E-05  4.3373812E-06  0.000E+00  1.202E-04  1.607E-04  9.613E-01  1.043E+00  6.64E+02  0.00E+00  2.26E+02  0.491278  0.013664  0.0000000E+00  7.3316219326E-02
  7  0.403354523107785E+07    8.999818  3.665034  4.463395  0.7506964E+00  0.2488622E+00  6.5070661E-05  8.4768939E-07  1.8963087E-05  1.6337254E-04  6.4887122E-08  3.6810761E-07  5.3625423E-05  4.3373812E-06  0.000E+00  0.3385  4.463395  -10.300  1.315249  7.584760  0.6978897E+00  0.3017197E+00  1.9915348E-06  5.3763680E-07  2.3256146E-04  4.1988514E-06  9.7789042E-09  1.4825128E-11  5.3625423E-05  4.3373812E-06  0.000E+00  1.191E-04  1.599E-04  9.612E-01  1.043E+00  6.61E+02  0.00E+00  2.26E+02  0.491968  0.013827  0.0000000E+00  7.3314654770E-02
  8  0.462585597466552E+07    8.999788  3.670557  4.463129  0.7506948E+00  0.2488639E+00  6.4797908E-05  9.1638347E-07  1.9242253E-05  1.6333468E-04  6.5235465E-08  3.6723125E-07  5.3625423E-05  4.3373812E-06  0.000E+00  0.3362  4.463129  -10.284  1.314845  7.585619  0.6894526E+00  0.3101568E+00  1.9960280E-06  5.3889948E-07  2.3256221E-04  4.1903617E-06  9.8620750E-09  1.4783099E-11  5.3625423E-05  4.3373812E-06  0.000E+00  1.181E-04  1.590E-04  9.610E-01  1.044E+00  6.59E+02  0.00E+00  2.25E+02  0.493265  0.014004  0.0000000E+00  7.3312947425E-02
