line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.377621041480454E+05   39.996431  5.323418  4.668656  0.7470857E+00  0.2508726E+00  3.2616464E-04  3.9582052E-06  9.4108290E-05  8.1692502E-04  3.2365733E-07  1.8428201E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.6291  4.668656   -7.035  0.641931  7.650181  0.7440822E+00  0.2539234E+00  1.0509806E-05  2.7667115E-06  8.8047572E-04  3.4236256E-04  5.8235939E-07  1.2094108E-08  2.6715869E-04  2.3762809E-06  2.740E-06  7.162E-05  6.850E-05  9.430E-01  1.074E+00  8.66E+02  0.00E+00  3.58E+02  0.584733  0.141397  0.0000000E+00  1.1958309733E+00
  2  0.133731485028619E+06   39.987564  5.329731  4.669298  0.7470857E+00  0.2508726E+00  3.2616464E-04  3.9582052E-06  9.4108290E-05  8.1692502E-04  3.2365733E-07  1.8428201E-06  2.6812712E-04  2.1686906E-05  0.000E+00  0.6218  4.669298   -7.030  0.632098  7.647544  0.7355224E+00  0.2625152E+00  9.6925891E-06  2.6557272E-06  1.1080429E-03  8.3877403E-05  1.7982689E-07  4.2085008E-10  2.6536281E-04  3.4762185E-07  5.254E-06  6.160E-05  6.928E-05  9.572E-01  1.054E+00  8.60E+02  0.00E+00  3.08E+02  0.514389  0.143499  0.0000000E+00  1.1940045053E+00
  3  0.225704747943160E+06   39.978863  5.334449  4.668445  0.7470857E+00  0.2508726E+00  3.2616463E-04  3.9582071E-06  9.4108290E-05  8.1692502E-04  3.2365733E-07  1.8428201E-06  2.6812712E-04  2.1686906E-05  5.074E-18  0.6188  4.668445   -7.019  0.629543  7.647323  0.7271055E+00  0.2709380E+00  1.0039931E-05  2.7516389E-06  1.1507537E-03  3.4580926E-05  7.3614470E-08  1.3014081E-10  2.6378328E-04  3.2511676E-07  5.933E-06  6.089E-05  6.868E-05  9.570E-01  1.055E+00  8.56E+02  0.00E+00  3.08E+02  0.515708  0.145098  0.0000000E+00  1.1922398070E+00
  4  0.315974802285209E+06   39.970107  5.339039  4.667942  0.7470857E+00  0.2508726E+00  3.2616460E-04  3.9582472E-06  9.4108294E-05  8.1692502E-04  3.2365734E-07  1.8428200E-06  2.6812712E-04  2.1686906E-05  3.956E-15  0.6159  4.667942   -7.008  0.629143  7.647814  0.7187964E+00  0.2792483E+00  1.0150998E-05  2.7827857E-06  1.1605352E-03  2.3237404E-05  4.8867322E-08  1.8602133E-10  2.6227320E-04  3.3515204E-07  5.960E-06  6.034E-05  6.827E-05  9.568E-01  1.055E+00  8.53E+02  0.00E+00  3.07E+02  0.516405  0.146671  0.0000000E+00  1.1904513329E+00
  5  0.406244856627258E+06   39.961129  5.343758  4.667497  0.7470857E+00  0.2508726E+00  3.2616427E-04  3.9585703E-06  9.4108394E-05  8.1692498E-04  3.2365741E-07  1.8428194E-06  2.6812712E-04  2.1686904E-05  1.923E-13  0.6131  4.667497   -6.997  0.629378  7.648512  0.7103553E+00  0.2876896E+00  1.0188027E-05  2.7924876E-06  1.1635551E-03  1.9730819E-05  4.1314767E-08  8.7064353E-11  2.6076501E-04  3.3009890E-07  5.721E-06  5.992E-05  6.797E-05  9.563E-01  1.056E+00  8.50E+02  0.00E+00  3.07E+02  0.519117  0.148307  0.0000000E+00  1.1886028559E+00
  6  0.494811702396815E+06   39.952100  5.348399  4.667055  0.7470857E+00  0.2508726E+00  3.2616239E-04  3.9601510E-06  9.4109557E-05  8.1692437E-04  3.2365803E-07  1.8428146E-06  2.6812711E-04  2.1686879E-05  2.491E-12  0.6102  4.667055   -6.986  0.629693  7.649233  0.7019970E+00  0.2960477E+00  1.0219195E-05  2.8014042E-06  1.1642173E-03  1.8922589E-05  3.9344698E-08  1.2475659E-10  2.5929353E-04  3.3588176E-07  5.372E-06  5.948E-05  6.765E-05  9.560E-01  1.056E+00  8.47E+02  0.00E+00  3.07E+02  0.520863  0.149935  0.0000000E+00  1.1867314824E+00
  7  0.583378548166374E+06   39.942841  5.353110  4.666607  0.7470857E+00  0.2508727E+00  3.2615551E-04  3.9649463E-06  9.4115761E-05  8.1692097E-04  3.2366084E-07  1.8427931E-06  2.6812711E-04  2.1686742E-05  1.426E-11  0.6075  4.666607   -6.975  0.630089  7.649983  0.6935726E+00  0.3044720E+00  1.0243225E-05  2.8080658E-06  1.1643924E-03  1.8681984E-05  3.8657021E-08  1.2453894E-10  2.5783089E-04  3.3915010E-07  4.989E-06  5.906E-05  6.732E-05  9.556E-01  1.057E+00  8.43E+02  0.00E+00  3.08E+02  0.522890  0.151605  0.0000000E+00  1.1847974992E+00
  8  0.671945393935934E+06   39.933345  5.357890  4.666148  0.7470856E+00  0.2508728E+00  3.2613622E-04  3.9763047E-06  9.4137498E-05  8.1690874E-04  3.2366978E-07  1.8427253E-06  2.6812708E-04  2.1686253E-05  5.271E-11  0.6048  4.666148   -6.964  0.630537  7.650752  0.6851006E+00  0.3129438E+00  1.0266114E-05  2.8144556E-06  1.1643188E-03  1.8726971E-05  3.8565553E-08  1.3160671E-10  2.5638071E-04  3.4469586E-07  4.607E-06  5.866E-05  6.697E-05  9.552E-01  1.057E+00  8.40E+02  0.00E+00  3.08E+02  0.525203  0.153319  0.0000000E+00  1.1827976594E+00
