line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.137956228819200E+07    4.000000  2.423815  4.215934  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2666  4.215934    0.000  1.577968  7.448701  0.7350561E+00  0.2588282E+00  9.4016477E-06  2.5178283E-06  1.7629579E-03  2.0423569E-03  2.8544655E-05  1.5834602E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.537E-04  1.459E-04  9.391E-01  1.071E+00  5.13E+02  0.00E+00  2.19E+02  0.602134  0.001772  0.0000000E+00  1.3450008421E-02
  2  0.565283985311645E+07    4.000000  2.427522  4.213756  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2662  4.213756    0.000  1.558918  7.443528  0.7266921E+00  0.2672753E+00  1.2199856E-05  3.2678372E-06  2.3350181E-03  1.3897841E-03  2.2302584E-05  1.2970353E-08  8.0438135E-04  6.5060718E-05  0.000E+00  1.315E-04  1.539E-04  9.534E-01  1.052E+00  5.07E+02  0.00E+00  1.90E+02  0.534636  0.001788  0.0000000E+00  1.3450008421E-02
  3  0.958018102326728E+07    4.000000  2.432243  4.212245  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2647  4.212245    0.000  1.550832  7.441769  0.7185144E+00  0.2754994E+00  1.3792423E-05  3.6916915E-06  2.6532607E-03  1.0282741E-03  1.7155506E-05  8.6104619E-09  8.0438135E-04  6.5060718E-05  0.000E+00  1.233E-04  1.563E-04  9.575E-01  1.047E+00  5.03E+02  0.00E+00  1.80E+02  0.513046  0.001807  0.0000000E+00  1.3450008421E-02
  4  0.133493117671324E+08    4.000000  2.437113  4.211137  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2626  4.211137    0.000  1.545883  7.441101  0.7104731E+00  0.2835701E+00  1.4844135E-05  3.9723106E-06  2.8543020E-03  8.0016482E-04  1.3540245E-05  6.5216939E-09  8.0438135E-04  6.5060718E-05  0.000E+00  1.190E-04  1.564E-04  9.591E-01  1.045E+00  5.00E+02  0.00E+00  1.75E+02  0.504115  0.001827  0.0000000E+00  1.3450008421E-02
  5  0.168671671280732E+08    4.000000  2.441860  4.210094  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874616E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2609  4.210094    0.000  1.542502  7.440882  0.7022885E+00  0.2917772E+00  1.5644059E-05  4.1861759E-06  3.0072711E-03  6.2670223E-04  1.0680863E-05  5.1012108E-09  8.0438135E-04  6.5060718E-05  0.000E+00  1.163E-04  1.558E-04  9.597E-01  1.045E+00  4.98E+02  0.00E+00  1.73E+02  0.500698  0.001848  0.0000000E+00  1.3450008421E-02
  6  0.200499886451150E+08    4.000000  2.446055  4.209073  0.7380571E+00  0.2559004E+00  9.7849391E-04  1.1874618E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2585  4.209073    0.000  1.539770  7.440865  0.6940400E+00  0.3000431E+00  1.6253371E-05  4.3493281E-06  3.1266067E-03  4.9147266E-04  8.3763329E-06  3.9975194E-09  8.0438135E-04  6.5060718E-05  0.000E+00  1.144E-04  1.548E-04  9.599E-01  1.044E+00  4.95E+02  0.00E+00  1.72E+02  0.499449  0.001865  0.0000000E+00  1.3450008421E-02
  7  0.232328101621567E+08    4.000000  2.450726  4.208269  0.7380571E+00  0.2559004E+00  9.7849389E-04  1.1874636E-05  2.8232488E-04  2.4507751E-03  9.7097200E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2566  4.208269    0.000  1.538172  7.441143  0.6858697E+00  0.3082257E+00  1.6701416E-05  4.4691948E-06  3.2105726E-03  3.9632887E-04  6.7152809E-06  3.2111817E-09  8.0438135E-04  6.5060718E-05  0.000E+00  1.128E-04  1.537E-04  9.599E-01  1.045E+00  4.93E+02  0.00E+00  1.71E+02  0.499463  0.001886  0.0000000E+00  1.3450008421E-02
  8  0.264156316791985E+08    4.000000  2.455260  4.207497  0.7380571E+00  0.2559004E+00  9.7849360E-04  1.1874854E-05  2.8232498E-04  2.4507751E-03  9.7097210E-07  5.5284599E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.2541  4.207497    0.000  1.536729  7.441578  0.6777308E+00  0.3163734E+00  1.7029421E-05  4.5573663E-06  3.2704288E-03  3.2850583E-04  5.5138478E-06  2.6450435E-09  8.0438135E-04  6.5060718E-05  0.000E+00  1.116E-04  1.527E-04  9.598E-01  1.045E+00  4.91E+02  0.00E+00  1.71E+02  0.500055  0.001905  0.0000000E+00  1.3450008421E-02
